epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
102,3510.2,1.375,0.89696,0.01048,0.6962,0.54278,0.5911,0.35807,1.29079,0.73075,0.01577,0.0003335,0.0003335,0.0003335
103,3591.11,1.39302,0.94522,0.01046,0.68878,0.52385,0.57451,0.34975,1.28693,0.76305,0.0159,0.000317,0.000317,0.000317
104,3669.16,1.43528,0.97022,0.01014,0.70478,0.52059,0.58469,0.35605,1.29073,0.76102,0.01598,0.0003005,0.0003005,0.0003005
105,3744.57,1.41865,0.95473,0.01014,0.68506,0.52586,0.5806,0.35407,1.27926,0.77263,0.01571,0.000284,0.000284,0.000284
106,3820.93,1.36296,0.91222,0.01039,0.68967,0.5282,0.57871,0.35042,1.28947,0.76719,0.01594,0.0002675,0.0002675,0.0002675
107,3895.09,1.41545,0.93715,0.01018,0.69165,0.51846,0.56704,0.3446,1.30482,0.76882,0.01613,0.000251,0.000251,0.000251
108,3977.67,1.36882,0.92112,0.01014,0.68468,0.52548,0.57245,0.34766,1.29505,0.78817,0.01576,0.0002345,0.0002345,0.0002345
109,4060.8,1.43795,0.96013,0.00944,0.67701,0.52629,0.57661,0.3493,1.3004,0.77272,0.0159,0.000218,0.000218,0.000218
110,4136.58,1.37827,0.93027,0.00973,0.67812,0.52389,0.57235,0.34507,1.29299,0.78978,0.01585,0.0002015,0.0002015,0.0002015
111,4212.5,1.2296,0.74338,0.0126,0.6752,0.54342,0.58449,0.35805,1.28683,0.74193,0.01575,0.000185,0.000185,0.000185
112,4294.32,1.20532,0.71625,0.01272,0.68256,0.52711,0.57866,0.35005,1.3043,0.75007,0.01617,0.0001685,0.0001685,0.0001685
113,4377.94,1.20696,0.70932,0.01205,0.68735,0.54491,0.5887,0.35676,1.28615,0.74164,0.01574,0.000152,0.000152,0.000152
114,4460.15,1.19315,0.69228,0.01221,0.68623,0.54654,0.59226,0.36389,1.26812,0.72347,0.01536,0.0001355,0.0001355,0.0001355
115,4545,1.18482,0.69252,0.01214,0.6945,0.53608,0.58822,0.36009,1.2746,0.73595,0.01528,0.000119,0.000119,0.000119
116,4626.56,1.2078,0.70584,0.01204,0.69581,0.54586,0.59955,0.36758,1.2588,0.71269,0.01518,0.0001025,0.0001025,0.0001025
117,4715.4,1.20571,0.69747,0.01198,0.69952,0.54423,0.59909,0.36667,1.26445,0.71272,0.0152,8.6e-05,8.6e-05,8.6e-05
118,4798.86,1.18156,0.68167,0.01185,0.69851,0.54709,0.60095,0.36858,1.26101,0.70505,0.01517,6.95e-05,6.95e-05,6.95e-05
119,4886.27,1.15261,0.67774,0.01154,0.7078,0.54509,0.60435,0.37195,1.25488,0.69826,0.01514,5.3e-05,5.3e-05,5.3e-05
120,4970.32,1.17929,0.67294,0.01179,0.69371,0.55307,0.60221,0.37004,1.25846,0.70175,0.01514,3.65e-05,3.65e-05,3.65e-05
