epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,140145,0.28683,0.2095,0.00079,0.94392,0.93138,0.9758,0.94965,0.24753,0.24276,0.00106,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,141216,0.2832,0.20642,0.00078,0.94543,0.9304,0.97619,0.94966,0.24732,0.2434,0.00106,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,142278,0.28221,0.20595,0.00078,0.94587,0.93024,0.97591,0.94947,0.248,0.24328,0.00107,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,143302,0.2798,0.20342,0.00076,0.94652,0.92991,0.97585,0.94969,0.24691,0.24319,0.00106,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,144029,0.27779,0.20252,0.00076,0.94588,0.931,0.97596,0.94976,0.24711,0.24325,0.00106,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,144869,0.27693,0.20134,0.00075,0.9477,0.92938,0.97589,0.94985,0.24633,0.24326,0.00105,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,145741,0.27516,0.20074,0.00075,0.9468,0.93019,0.97602,0.94996,0.2465,0.2432,0.00106,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,146808,0.27305,0.199,0.00074,0.94805,0.92919,0.97593,0.94979,0.24646,0.24371,0.00106,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,147550,0.27243,0.1987,0.00074,0.94664,0.93072,0.97586,0.9498,0.24587,0.24368,0.00106,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,148628,0.27077,0.19741,0.00074,0.9464,0.93066,0.97586,0.94981,0.24616,0.24452,0.00106,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
